run_name,family,budget,content_run,row,scene,dataset_start_frame,duration_sec,section_idx,section_time_sec,context_slot,target_frame,candidate_count,traced_candidate_count,candidate_count_mismatch,selected_overlap,selected_memory_frame,selected_view_mismatch,selected_memory_corruption,selected_effective_mismatch,bank_oracle_frame,bank_oracle_view_mismatch,bank_oracle_memory_corruption,bank_oracle_effective_mismatch,full_oracle_frame,full_oracle_view_mismatch,full_oracle_memory_corruption,full_oracle_effective_mismatch,retention_gap,retrieval_gap,total_oracle_gap
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,20,50.666666666666664,0,1521,31,31,0,0.9627118644067797,1514,0.09948265552520752,0.7707356214523315,0.7667995691299438,0,0.3881962299346924,0.05304121971130371,0.367864727973938,1,0.39196765422821045,0.05891519784927368,0.3594115972518921,0.008453130722045898,0.39893484115600586,0.40738797187805176
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,20,50.666666666666664,19,1540,31,31,0,0.9208074534161491,1483,0.09769237041473389,0.6694105863571167,0.6825727224349976,0,0.2840970754623413,0.05304121971130371,0.27339881658554077,1,0.28801077604293823,0.05891519784927368,0.27275508642196655,0.0006437301635742188,0.4091739058494568,0.409817636013031
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,20,50.666666666666664,38,1559,31,31,0,0.8118361153262519,1458,0.1282309889793396,0.7009943127632141,0.6856828927993774,0,0.34562188386917114,0.05304121971130371,0.32885289192199707,0,0.34562188386917114,0.05304121971130371,0.32885289192199707,0.0,0.35683000087738037,0.35683000087738037
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,20,50.666666666666664,57,1578,31,31,0,0.919175911251981,1178,0.18954825401306152,0.6693880558013916,0.7616038918495178,0,0.3385286331176758,0.05304121971130371,0.3400074243545532,0,0.3385286331176758,0.05304121971130371,0.3400074243545532,0.0,0.4215964674949646,0.4215964674949646
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,21,53.2,0,1597,31,31,0,0.8214285714285714,1220,0.14714103937149048,0.7170223593711853,0.7250339984893799,0,0.33104413747787476,0.05304121971130371,0.3064488172531128,0,0.33104413747787476,0.05304121971130371,0.3064488172531128,0.0,0.4185851812362671,0.4185851812362671
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,21,53.2,19,1616,31,31,0,0.8560250391236307,905,0.10596168041229248,0.7358429431915283,0.7745077013969421,0,0.33248430490493774,0.05304121971130371,0.31672048568725586,0,0.33248430490493774,0.05304121971130371,0.31672048568725586,0.0,0.4577872157096863,0.4577872157096863
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,21,53.2,38,1635,31,31,0,0.9181818181818182,905,0.0751810073852539,0.7358429431915283,0.7504796981811523,0,0.28987574577331543,0.05304121971130371,0.27507591247558594,0,0.28987574577331543,0.05304121971130371,0.27507591247558594,0.0,0.4754037857055664,0.4754037857055664
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,21,53.2,57,1654,31,31,0,0.9085072231139647,897,0.21877717971801758,0.6576684713363647,0.7281540632247925,0,0.31349271535873413,0.05304121971130371,0.2947208881378174,0,0.31349271535873413,0.05304121971130371,0.2947208881378174,0.0,0.4334331750869751,0.4334331750869751
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,22,55.733333333333334,0,1673,29,29,0,0.9791666666666666,1665,0.07865512371063232,0.7237799763679504,0.7483713626861572,0,0.24183690547943115,0.05304121971130371,0.2254619002342224,0,0.24183690547943115,0.05304121971130371,0.2254619002342224,0.0,0.5229094624519348,0.5229094624519348
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,22,55.733333333333334,19,1692,29,29,0,0.8603268945022289,905,0.06012558937072754,0.7358429431915283,0.737146258354187,0,0.28968876600265503,0.05304121971130371,0.26378995180130005,1,0.2854752540588379,0.05891519784927368,0.2633686661720276,0.00042128562927246094,0.47335630655288696,0.4737775921821594
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,22,55.733333333333334,38,1711,29,29,0,0.8598265895953757,1220,0.24335038661956787,0.7170223593711853,0.6874411106109619,0,0.36173248291015625,0.05304121971130371,0.3448770046234131,0,0.36173248291015625,0.05304121971130371,0.3448770046234131,0.0,0.34256410598754883,0.34256410598754883
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,22,55.733333333333334,57,1730,29,29,0,0.8717948717948718,1177,0.19610822200775146,0.6283712387084961,0.7255190014839172,0,0.4248332381248474,0.05304121971130371,0.40582674741744995,2,0.4162818193435669,0.06494462490081787,0.40030598640441895,0.005520761013031006,0.3196922540664673,0.3252130150794983
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,23,58.266666666666666,0,1749,31,31,0,0.7994467496542186,1546,0.053903162479400635,0.6549686789512634,0.665886640548706,0,0.3186182975769043,0.05304121971130371,0.3165455460548401,0,0.3186182975769043,0.05304121971130371,0.3165455460548401,0.0,0.34934109449386597,0.34934109449386597
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,23,58.266666666666666,19,1768,31,31,0,0.9448818897637795,1546,0.03779959678649902,0.6549686789512634,0.6770050525665283,0,0.31005966663360596,0.05304121971130371,0.31033211946487427,0,0.31005966663360596,0.05304121971130371,0.31033211946487427,0.0,0.36667293310165405,0.36667293310165405
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,23,58.266666666666666,38,1787,31,31,0,0.8470948012232415,1540,0.05167728662490845,0.6832193732261658,0.6606724262237549,0,0.26732128858566284,0.05304121971130371,0.25271159410476685,0,0.26732128858566284,0.05304121971130371,0.25271159410476685,0.0,0.40796083211898804,0.40796083211898804
mce_b32_lambda1_pilot,mce b32 lambda1 pilot,32,baseline,48,DragonRise_9,3876,60,23,58.266666666666666,57,1806,31,31,0,0.9442675159235668,1514,0.23700106143951416,0.7707356214523315,0.8423815965652466,0,0.45405256748199463,0.05304121971130371,0.44773125648498535,1,0.46555137634277344,0.05891519784927368,0.43547332286834717,0.012257933616638184,0.39465034008026123,0.4069082736968994
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,1,2.533333333333333,0,77,60,60,0,0.9731437598736177,72,0.03670859336853027,0.2015235424041748,0.20628368854522705,35,0.1507917046546936,0.08507800102233887,0.1335691213607788,35,0.1507917046546936,0.08507800102233887,0.1335691213607788,0.0,0.07271456718444824,0.07271456718444824
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,1,2.533333333333333,19,96,60,60,0,0.91324200913242,72,0.1840682029724121,0.2015235424041748,0.2840139865875244,30,0.1558067798614502,0.060962557792663574,0.18156743049621582,30,0.1558067798614502,0.060962557792663574,0.18156743049621582,0.0,0.1024465560913086,0.1024465560913086
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,1,2.533333333333333,38,115,60,60,0,0.8621212121212121,72,0.1698259711265564,0.2015235424041748,0.2913859486579895,35,0.1989816427230835,0.08507800102233887,0.21975815296173096,35,0.1989816427230835,0.08507800102233887,0.21975815296173096,0.0,0.07162779569625854,0.07162779569625854
fifo_b64,FIFO,64,baseline,48,DragonRise_9,3876,60,1,2.533333333333333,57,134,60,60,0,0.8131241084165478,68,0.13953661918640137,0.22599363327026367,0.30818748474121094,30,0.17708832025527954,0.060962557792663574,0.21043717861175537,30,0.17708832025527954,0.060962557792663574,0.21043717861175537,0.0,0.09775030612945557,0.09775030612945557
